# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
Q1137+3907,0.72,21.1,0.1,0.104,0.14,-1.799,-2.315,-0.516
Q1157+014,1.944,21.7,0.1,-0.828,0.14,-2.707,-3.397,-0.69
Q1209+093,2.584,21.4,0.1,-0.57,0.13,-2.455,-3.097,-0.642
Q1210+17,1.892,20.63,0.08,-0.51,0.12,-2.38,-3.258,-0.877
Q1215+33,1.999,20.95,0.07,-0.86,0.12,-2.733,-3.45,-0.717
Q1223+1753,2.466,21.5,0.1,-1.25,0.13,-3.12,-3.998,-0.877
Q1232+082,2.338,20.9,0.1,-0.42,0.18,-2.325,-2.825,-0.5
Q1328+307,0.692,21.25,0.1,-0.771,0.19,-2.659,-3.279,-0.62
Q1331+17,1.776,21.14,0.08,-0.837,0.11,-2.736,-3.279,-0.543
Q1337+113,2.796,21.0,0.08,-1.46,0.11,-3.33,-4.332,-1.002
Q1354+258,1.42,21.54,0.06,-1.2,0.2,-3.07,-3.799,-0.729
Q1354−1046,2.501,20.44,0.05,-1.17,0.15,-3.04,-4.51,-1.47
Q1354−1046,2.967,20.8,0.1,-1.13,0.13,-3.0,-4.126,-1.126
Q1409+095,2.456,20.53,0.08,-1.7,0.11,-3.57,-5.012,-1.442
Q1418−0630,3.448,20.4,0.1,-0.94,0.15,-2.81,-3.619,-0.809
Q1425+6039,2.827,20.3,0.04,-0.35,0.09,-2.235,-2.877,-0.642
Q1451+123,2.469,20.39,0.1,-1.271,0.18,-3.166,-3.734,-0.568
Q1451+123,2.255,20.3,0.15,-0.7,0.21,-2.57,-3.326,-0.756
Q1502+4837,2.57,20.3,0.15,-1.2,0.22,-3.07,-4.54,-1.47
Q1727+5302,0.945,21.16,0.1,-0.141,0.16,-2.043,-2.568,-0.525
Q1727+5302,1.031,21.41,0.15,-0.888,0.29,-2.789,-3.317,-0.528
Q1755+578,1.971,21.4,0.15,0.222,0.18,-1.685,-2.174,-0.489
Q1759+75,2.625,20.76,0.05,-0.52,0.09,-2.39,-3.199,-0.809
Q2059−360,3.083,20.98,0.08,-1.44,0.14,-3.31,-4.766,-1.455
Q2138−444,2.852,20.98,0.05,-1.4,0.09,-3.27,-4.309,-1.039
Q2206−199,1.92,20.65,0.07,0.035,0.1,-1.844,-2.539,-0.696
Q2206−199,2.076,20.43,0.04,-1.89,0.08,-3.76,-4.993,-1.233
Q2223+20,3.119,20.3,0.1,-1.8,0.14,-3.67,-4.903,-1.233
Q2228−3954,2.095,21.2,0.1,-0.99,0.14,-2.86,-3.8,-0.94
Q2230+025,1.864,20.83,0.05,-0.255,0.11,-2.134,-2.829,-0.696
Q2231−00,2.066,20.53,0.08,-0.49,0.12,-2.36,-3.162,-0.802
Q2237−0608,4.08,20.52,0.11,-1.51,0.18,-3.38,-4.543,-1.163
Q2311−3721,2.182,20.55,0.07,-1.29,0.11,-3.16,-4.393,-1.233
Q2318−1107,1.989,20.68,0.05,-0.41,0.09,-2.287,-2.999,-0.712
Q2342+34,2.908,21.1,0.1,-0.512,0.15,-2.416,-2.929,-0.513
Q2343+12,2.431,20.34,0.1,-0.33,0.13,-2.203,-2.92,-0.717
Q2344+12,2.538,20.36,0.1,-1.34,0.13,-3.21,-4.68,-1.47
Q2348−01,2.426,20.5,0.1,-0.199,0.12,-2.108,-2.587,-0.479
Q2348−01,2.615,21.3,0.1,-1.6,0.17,-3.47,-4.703,-1.233
Q2348−1444,2.279,20.59,0.08,-1.58,0.13,-3.45,-4.576,-1.126
Q2359−02,2.154,20.35,0.1,-1.19,0.13,-3.06,-3.906,-0.846
Q2359−02,2.095,20.7,0.1,-0.379,0.13,-2.282,-2.796,-0.513
SDSS0225+0054,2.714,21.0,0.15,-0.34,0.21,-2.217,-2.929,-0.712
